Com_code;regrgp_nom;reg_nom;com_nom_maj_court
01372;Province;Auvergne-Rhône-Alpes;ST MARTIN DE BAVEL
01373;Province;Auvergne-Rhône-Alpes;ST MARTIN DU FRENE
01374;Province;Auvergne-Rhône-Alpes;ST MARTIN DU MONT
01375;Province;Auvergne-Rhône-Alpes;ST MARTIN LE CHATEL
01376;Province;Auvergne-Rhône-Alpes;ST MAURICE DE BEYNOST
01377;Province;Auvergne-Rhône-Alpes;SAINT MAURICE D ECHAZEAUX
01378;Province;Auvergne-Rhône-Alpes;ST MAURICE DE GOURDANS
01379;Province;Auvergne-Rhône-Alpes;ST MAURICE DE REMENS
01380;Province;Auvergne-Rhône-Alpes;ST NIZIER LE BOUCHOUX
01381;Province;Auvergne-Rhône-Alpes;ST NIZIER LE DESERT
01382;Province;Auvergne-Rhône-Alpes;STE OLIVE
01383;Province;Auvergne-Rhône-Alpes;ST PAUL DE VARAX
01384;Province;Auvergne-Rhône-Alpes;ST RAMBERT EN BUGEY
01385;Province;Auvergne-Rhône-Alpes;ST REMY
01386;Province;Auvergne-Rhône-Alpes;ST SORLIN EN BUGEY
01387;Province;Auvergne-Rhône-Alpes;ST SULPICE
01388;Province;Auvergne-Rhône-Alpes;ST TRIVIER DE COURTES
01389;Province;Auvergne-Rhône-Alpes;ST TRIVIER SUR MOIGNANS
01390;Province;Auvergne-Rhône-Alpes;ST VULBAS
01391;Province;Auvergne-Rhône-Alpes;SALAVRE
01392;Province;Auvergne-Rhône-Alpes;SAMOGNAT
01393;Province;Auvergne-Rhône-Alpes;SANDRANS
01394;Province;Auvergne-Rhône-Alpes;SATHONAY CAMP
01395;Province;Auvergne-Rhône-Alpes;SATHONAY VILLAGE
01396;Province;Auvergne-Rhône-Alpes;SAULT BRENAZ
01397;Province;Auvergne-Rhône-Alpes;SAUVERNY
01398;Province;Auvergne-Rhône-Alpes;SAVIGNEUX
01399;Province;Auvergne-Rhône-Alpes;SEGNY
01400;Province;Auvergne-Rhône-Alpes;SEILLONNAZ
01401;Province;Auvergne-Rhône-Alpes;SERGY
01402;Province;Auvergne-Rhône-Alpes;SERMOYER
01403;Province;Auvergne-Rhône-Alpes;SERRIERES DE BRIORD
01404;Province;Auvergne-Rhône-Alpes;SERRIERES SUR AIN
01405;Province;Auvergne-Rhône-Alpes;SERVAS
01406;Province;Auvergne-Rhône-Alpes;SERVIGNAT
01407;Province;Auvergne-Rhône-Alpes;SEYSSEL
01408;Province;Auvergne-Rhône-Alpes;SIMANDRE SUR SURAN
01409;Province;Auvergne-Rhône-Alpes;SONGIEU
01410;Province;Auvergne-Rhône-Alpes;SONTHONNAX LA MONTAGNE
01411;Province;Auvergne-Rhône-Alpes;SOUCLIN
01412;Province;Auvergne-Rhône-Alpes;SULIGNAT
01413;Province;Auvergne-Rhône-Alpes;SURJOUX
01414;Province;Auvergne-Rhône-Alpes;SUTRIEU
01415;Province;Auvergne-Rhône-Alpes;TALISSIEU
01416;Province;Auvergne-Rhône-Alpes;TENAY
01417;Province;Auvergne-Rhône-Alpes;THEZILLIEU
01418;Province;Auvergne-Rhône-Alpes;THIL
01419;Province;Auvergne-Rhône-Alpes;THOIRY
01420;Province;Auvergne-Rhône-Alpes;THOISSEY
01421;Province;Auvergne-Rhône-Alpes;TORCIEU
01422;Province;Auvergne-Rhône-Alpes;TOSSIAT
01423;Province;Auvergne-Rhône-Alpes;TOUSSIEUX
01424;Province;Auvergne-Rhône-Alpes;TRAMOYES
01425;Province;Auvergne-Rhône-Alpes;LA TRANCLIERE
01426;Province;Auvergne-Rhône-Alpes;TREFFORT CUISIAT
01427;Province;Auvergne-Rhône-Alpes;TREVOUX
01428;Province;Auvergne-Rhône-Alpes;VALEINS
01429;Province;Auvergne-Rhône-Alpes;VANDEINS
01430;Province;Auvergne-Rhône-Alpes;VARAMBON
01431;Province;Auvergne-Rhône-Alpes;VAUX EN BUGEY
01432;Province;Auvergne-Rhône-Alpes;VERJON
