Com_code;com_nom_maj_court;regrgp_nom;reg_nom
01312;PRESSIAT;Province;Auvergne-Rhône-Alpes
01313;PREVESSIN MOENS;Province;Auvergne-Rhône-Alpes
01314;PRIAY;Province;Auvergne-Rhône-Alpes
01315;PROULIEU;Province;Auvergne-Rhône-Alpes
01316;PUGIEU;Province;Auvergne-Rhône-Alpes
01317;RAMASSE;Province;Auvergne-Rhône-Alpes
01318;RANCE;Province;Auvergne-Rhône-Alpes
01319;RELEVANT;Province;Auvergne-Rhône-Alpes
01320;REPLONGES;Province;Auvergne-Rhône-Alpes
01321;REVONNAS;Province;Auvergne-Rhône-Alpes
01322;REYRIEUX;Province;Auvergne-Rhône-Alpes
01323;REYSSOUZE;Province;Auvergne-Rhône-Alpes
01324;RIGNAT;Province;Auvergne-Rhône-Alpes
01325;RIGNIEUX LE FRANC;Province;Auvergne-Rhône-Alpes
01326;RILLIEUX;Province;Auvergne-Rhône-Alpes
01327;ROMANECHE;Province;Auvergne-Rhône-Alpes
01328;ROMANS;Province;Auvergne-Rhône-Alpes
01329;ROSSILLON;Province;Auvergne-Rhône-Alpes
01330;RUFFIEU;Province;Auvergne-Rhône-Alpes
01331;ST ALBAN;Province;Auvergne-Rhône-Alpes
01332;ST ANDRE DE BAGE;Province;Auvergne-Rhône-Alpes
01333;ST ANDRE DE CORCY;Province;Auvergne-Rhône-Alpes
01334;ST ANDRE D HUIRIAT;Province;Auvergne-Rhône-Alpes
01335;ST ANDRE LE BOUCHOUX;Province;Auvergne-Rhône-Alpes
01336;ST ANDRE SUR VIEUX JONC;Province;Auvergne-Rhône-Alpes
01337;ST BENIGNE;Province;Auvergne-Rhône-Alpes
01338;ST BENOIT;Province;Auvergne-Rhône-Alpes
01339;ST BERNARD;Province;Auvergne-Rhône-Alpes
01340;ST BOIS;Province;Auvergne-Rhône-Alpes
01341;ST CHAMP;Province;Auvergne-Rhône-Alpes
01342;STE CROIX;Province;Auvergne-Rhône-Alpes
01343;ST CYR SUR MENTHON;Province;Auvergne-Rhône-Alpes
01344;ST DENIS LES BOURG;Province;Auvergne-Rhône-Alpes
01345;ST DENIS EN BUGEY;Province;Auvergne-Rhône-Alpes
01346;ST DIDIER D AUSSIAT;Province;Auvergne-Rhône-Alpes
01347;ST DIDIER DE FORMANS;Province;Auvergne-Rhône-Alpes
01348;ST DIDIER SUR CHALARONNE;Province;Auvergne-Rhône-Alpes
01349;ST ELOI;Province;Auvergne-Rhône-Alpes
01350;ST ETIENNE DU BOIS;Province;Auvergne-Rhône-Alpes
01351;ST ETIENNE SUR CHALARONNE;Province;Auvergne-Rhône-Alpes
01352;ST ETIENNE SUR REYSSOUZE;Province;Auvergne-Rhône-Alpes
01353;STE EUPHEMIE;Province;Auvergne-Rhône-Alpes
01354;ST GENIS POUILLY;Province;Auvergne-Rhône-Alpes
01355;ST GENIS SUR MENTHON;Province;Auvergne-Rhône-Alpes
01356;ST GEORGES SUR RENON;Province;Auvergne-Rhône-Alpes
01357;ST GERMAIN DE JOUX;Province;Auvergne-Rhône-Alpes
01358;ST GERMAIN LES PAROISSES;Province;Auvergne-Rhône-Alpes
01359;ST GERMAIN SUR RENON;Province;Auvergne-Rhône-Alpes
01360;ST JEAN DE GONVILLE;Province;Auvergne-Rhône-Alpes
01361;ST JEAN DE NIOST;Province;Auvergne-Rhône-Alpes
01362;ST JEAN DE THURIGNEUX;Province;Auvergne-Rhône-Alpes
01363;ST JEAN LE VIEUX;Province;Auvergne-Rhône-Alpes
01364;ST JEAN SUR REYSSOUZE;Province;Auvergne-Rhône-Alpes
01365;ST JEAN SUR VEYLE;Province;Auvergne-Rhône-Alpes
01366;STE JULIE;Province;Auvergne-Rhône-Alpes
01367;ST JULIEN SUR REYSSOUZE;Province;Auvergne-Rhône-Alpes
01368;ST JULIEN SUR VEYLE;Province;Auvergne-Rhône-Alpes
01369;ST JUST;Province;Auvergne-Rhône-Alpes
01370;ST LAURENT SUR SAONE;Province;Auvergne-Rhône-Alpes
01371;ST MARCEL;Province;Auvergne-Rhône-Alpes
01372;ST MARTIN DE BAVEL;Province;Auvergne-Rhône-Alpes
01373;ST MARTIN DU FRENE;Province;Auvergne-Rhône-Alpes
01374;ST MARTIN DU MONT;Province;Auvergne-Rhône-Alpes
01375;ST MARTIN LE CHATEL;Province;Auvergne-Rhône-Alpes
01376;ST MAURICE DE BEYNOST;Province;Auvergne-Rhône-Alpes
01377;SAINT MAURICE D ECHAZEAUX;Province;Auvergne-Rhône-Alpes
01378;ST MAURICE DE GOURDANS;Province;Auvergne-Rhône-Alpes
01379;ST MAURICE DE REMENS;Province;Auvergne-Rhône-Alpes
01380;ST NIZIER LE BOUCHOUX;Province;Auvergne-Rhône-Alpes
01381;ST NIZIER LE DESERT;Province;Auvergne-Rhône-Alpes
01382;STE OLIVE;Province;Auvergne-Rhône-Alpes
01383;ST PAUL DE VARAX;Province;Auvergne-Rhône-Alpes
01384;ST RAMBERT EN BUGEY;Province;Auvergne-Rhône-Alpes
01385;ST REMY;Province;Auvergne-Rhône-Alpes
01386;ST SORLIN EN BUGEY;Province;Auvergne-Rhône-Alpes
01387;ST SULPICE;Province;Auvergne-Rhône-Alpes
01388;ST TRIVIER DE COURTES;Province;Auvergne-Rhône-Alpes
01389;ST TRIVIER SUR MOIGNANS;Province;Auvergne-Rhône-Alpes
01390;ST VULBAS;Province;Auvergne-Rhône-Alpes
01391;SALAVRE;Province;Auvergne-Rhône-Alpes
